baseline_runtime,beat_advances,cache_key,case_name,cnot_attempts,cnot_failed_attempts,cnot_failure_fraction,cnot_max_path_coordinates,cnot_mean_path_coordinates,cnot_path_coordinate_count,code_distance,diagnostic_schema,elapsed_seconds,final_beat,gnu_time_max_rss_kb,gnu_time_swaps,grid,hadamard_attempts,hadamard_failed_attempts,hadamard_failure_fraction,initial_beat,lattice_surgery_magic_attempts,lattice_surgery_magic_failed_attempts,lattice_surgery_magic_failure_fraction,lattice_surgery_magic_max_path_coordinates,lattice_surgery_magic_mean_path_coordinates,lattice_surgery_magic_path_coordinate_count,loop_iterations,max_consecutive_no_run_beats,molecule,optimized_ir_hash,other_beat_advances,physical_qubits,probability_hint_attempts,probability_hint_failed_attempts,probability_hint_failure_fraction,qasm_hash,qret_core_library,qret_core_library_hash,qret_core_library_hash_capture,qret_executable,qret_executable_hash,qubit_volume,reserved_only_beat_advances,routing_diagnostic_patch_sha256,routing_diagnostic_path,runnable_blocked_beat_advances,runnable_blocked_fraction,runtime,runtime_topology_overhead,runtime_without_topology,semantic_match,source_compile_yaml,source_compile_yaml_hash,status,successful_instruction_runs,topology_hash,topology_name,twist_attempts,twist_failed_attempts,twist_failure_fraction
2122291,2122290,332974561ffc796c,h5_aware_8x8,141511,97191,0.6868087993159543,21,5.117373646209386,226802,15,qret_routing_diagnostic_v1,14.917819002643228,2122290,821284,0,8x8,2407223,1838118,0.7635844290288021,0,1004734,528828,0.5263363238429276,16,2.2810407937701984,1085561,4774479,12,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,0,27000,956666,480760,0.5025369355658088,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,build/quration/cmake-build/quration-core/src/libqret-core.so.1.0.2,f88ef1f235a65c3bd8cbb0b2920c3b73e5617165fc538c442fa46e45313691d8,post_run_rebuild_from_same_source_patch,build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,27047597,0,d9affe2692dcaf110db55e7fa4c480b62f7a045ca902a3755992d1291b7fbbdc,artifacts/qret_runtime_routing_diagnostic_h5_h7_4th/diagnostics/h5_aware_8x8.json,2122290,1.0,2122291,26,2122265,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/332974561ffc796c/compile.yaml,9c3a13a2a4c6b1a5ec23229e297ff7418c4813dcc575617e0f692897569ae640,ok,2652189,ffb410ac792ce981e379ec957766c91d6c8c04ff12cafd8265fd94da7a69e26c,aware_8x8,2588543,1501617,0.580101238418678
9858370,9858369,9ed68c913dec4764,h7_aware_8x8,761055,532743,0.7000059128446696,21,5.673665860751954,1295366,17,qret_routing_diagnostic_v1,69.51017895899713,9858369,3381192,0,8x8,10126346,7737933,0.7641387130165215,0,5949623,3977917,0.6685998423765674,24,5.2575236876085985,10366291,21066441,12,H7,356adddd9d9d958064ddbc64722e855d34bbebb9c40a3ce060d1473e539d02c1,0,34680,3950752,1979046,0.5009289370732458,4406dbfd1fb59a7affb9165a4d61736887111abad5a640859ebc38f0585c6fac,build/quration/cmake-build/quration-core/src/libqret-core.so.1.0.2,f88ef1f235a65c3bd8cbb0b2920c3b73e5617165fc538c442fa46e45313691d8,post_run_rebuild_from_same_source_patch,build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,170106257,0,d9affe2692dcaf110db55e7fa4c480b62f7a045ca902a3755992d1291b7fbbdc,artifacts/qret_runtime_routing_diagnostic_h5_h7_4th/diagnostics/h7_aware_8x8.json,9858369,1.0,9858370,987508,8870862,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H7_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/9ed68c913dec4764/compile.yaml,2011226e6e1a38524ad326770a5e4677fa150a363bbc8d6f05a212d7857c2bf8,ok,11208072,7942ca952984c7e964931a120fd559a456a675c835c0295a7f85699ac5bd3958,aware_8x8,11339004,6691103,0.5900961848148215
8871631,8871630,fefe89b9dfe9dc94,h7_aware_8x10,767195,538883,0.702406819648199,18,5.255036966957497,1199788,17,qret_routing_diagnostic_v1,67.82981796003878,8871630,3357480,0,8x10,10180690,7792277,0.7653977284447321,0,4149885,2178179,0.5248769544216285,21,2.052446460070619,4046821,20079702,12,H7,356adddd9d9d958064ddbc64722e855d34bbebb9c40a3ce060d1473e539d02c1,0,43928,3964889,1993183,0.5027083986462169,4406dbfd1fb59a7affb9165a4d61736887111abad5a640859ebc38f0585c6fac,build/quration/cmake-build/quration-core/src/libqret-core.so.1.0.2,f88ef1f235a65c3bd8cbb0b2920c3b73e5617165fc538c442fa46e45313691d8,post_run_rebuild_from_same_source_patch,build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,148797110,0,d9affe2692dcaf110db55e7fa4c480b62f7a045ca902a3755992d1291b7fbbdc,artifacts/qret_runtime_routing_diagnostic_h5_h7_4th/diagnostics/h7_aware_8x10.json,8871630,1.0,8871631,769,8870862,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H7_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/fefe89b9dfe9dc94/compile.yaml,1c1493e4f2591a5b41eedf1a1d4f199b07bb5716ffcdd157b7ae20f8aa2d1c24,ok,11208072,7b02d2d340461c8034e9db1b6966769c5ca72d32fbb8363450ff32cf57cb2789,aware_8x10,11393954,6746053,0.5920730415446648
8871700,8871699,b98062623219824a,h7_aware_10x10,768287,539975,0.7028298018839314,22,5.085856196783349,1161162,17,qret_routing_diagnostic_v1,68.05608572252095,8871699,3354580,0,10x10,10184670,7796257,0.7654894071187383,0,4149399,2177693,0.5248213054468852,24,2.2654406894334147,4466783,20079771,12,H7,356adddd9d9d958064ddbc64722e855d34bbebb9c40a3ce060d1473e539d02c1,0,55488,3964988,1993282,0.5027208152962884,4406dbfd1fb59a7affb9165a4d61736887111abad5a640859ebc38f0585c6fac,build/quration/cmake-build/quration-core/src/libqret-core.so.1.0.2,f88ef1f235a65c3bd8cbb0b2920c3b73e5617165fc538c442fa46e45313691d8,post_run_rebuild_from_same_source_patch,build/quration/qret,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,149140855,0,d9affe2692dcaf110db55e7fa4c480b62f7a045ca902a3755992d1291b7fbbdc,artifacts/qret_runtime_routing_diagnostic_h5_h7_4th/diagnostics/h7_aware_10x10.json,8871699,1.0,8871700,838,8870862,True,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H7_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/b98062623219824a/compile.yaml,8d516a879b2ffb29c7b127c6251f7b86aff8bd27a33454fb81a1a57ad264871e,ok,11208072,bb768c16d14f78d234f19052507c5d3f3272b6c1566d7f43ddbd8afd76007d34,aware_10x10,11394183,6746282,0.5920812400502958
