allocate_magic_factory_count,case_name,chip_cell_count,code_distance,compile_info_path,elapsed_seconds,estimated_execution_time_sec,factory_count,factory_plus_ban_cell_count,fixed_logical_workload_match,gate_count,gate_depth,gnu_time_max_rss_kb,gnu_time_swaps,machine_type,magic_factory_count,magic_generation_period,magic_state_consumption_count,magic_state_consumption_depth,maximum_magic_state_stock,measurement_feedback_count,measurement_feedback_depth,minimum_initial_free_neighbors,molecule,optimized_ir_hash,pf_label,physical_qubits,qasm_hash,qret_core_library_hash,qret_executable_hash,qubit_volume,reaction_time,rotation_precision,runtime,runtime_estimation_magic_state_consumption_count,runtime_estimation_magic_state_consumption_depth,runtime_topology_overhead,runtime_without_topology,source_cache_key,source_compile_yaml,status,topology_hash,topology_path,usable_non_factory_cell_count,weighted_cnot_distance,weighted_nearest_factory_distance,weighted_nearest_factory_distance_mean,workload_ignored_fields,runtime_change_pct_vs_f4_period15,physical_runtime_change_pct_vs_f4_period15,qubit_volume_change_pct_vs_f4_period15,factory_three_penalty_pct_at_same_period,period_30_penalty_pct_at_same_factory_count,factory_period_interaction_percentage_points
3,h4_p1e-05_f3_period15,96,13,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_f3_period15.json,6.012961646541953,11.999350999999999,3,4,True,1020349,493287,320296,0,Dim2,3,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,9772779,1,1e-05,923027,2769000,2606220,1,923026,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,1eae22b0af9bd2524e563e0153c80dc88aeaf6140cffd806c5eeaf41099347dd,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_3.yaml,96,68660,27,3.0,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",13.382279961281629,13.382279961281629,13.223724851669271,13.382279961281629,0.0,19.9510292964582
3,h4_p1e-05_f3_period30,96,15,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_f3_period30.json,6.716270632110536,27.690555,3,4,True,1020349,493287,340088,0,Dim2,3,30,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,18067622,1,1e-05,1846037,5538000,5212440,1,1846036,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,1eae22b0af9bd2524e563e0153c80dc88aeaf6140cffd806c5eeaf41099347dd,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_3.yaml,96,68660,27,3.0,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",126.7624716859685,161.64900579150213,109.32464164512128,33.33330925773983,99.99815823372447,19.9510292964582
4,h4_p1e-05_f4_period15,96,13,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_f4_period15.json,5.804214399307966,10.583091999999999,4,4,True,1020350,493287,310332,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8631388,1,1e-05,814084,2769000,2606220,1,814083,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",0.0,0.0,0.0,0.0,0.0,19.9510292964582
4,h4_p1e-05_f4_period30,96,15,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-05_f4_period30.json,6.4383631171658635,20.76792,4,4,True,1020350,493287,328872,0,Dim2,4,30,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),43200,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,13972349,1,1e-05,1384528,5538000,5212440,1,1384527,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",70.07188447383808,96.23678977750546,61.878356065096376,0.0,70.07188447383808,19.9510292964582
3,h4_p1e-02_f3_period15,96,13,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_f3_period15.json,1.239705603569746,1.9247409999999998,3,4,True,233642,77833,96224,0,Dim2,3,15,11716,10176,10000,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1781767,1,0.01,148057,175740,152640,1,148056,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,1eae22b0af9bd2524e563e0153c80dc88aeaf6140cffd806c5eeaf41099347dd,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_3.yaml,96,68660,27,3.0,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",1.1249231609862687,1.1249231609862687,0.8147143096401077,1.1249231609862687,0.0,1.068204159302799
3,h4_p1e-02_f3_period30,96,13,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_f3_period30.json,1.2213569190353155,2.011126,3,4,True,233642,77833,96256,0,Dim2,3,30,11716,10176,10000,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1832886,1,0.01,154702,351480,305280,1,154701,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,1eae22b0af9bd2524e563e0153c80dc88aeaf6140cffd806c5eeaf41099347dd,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_3.yaml,96,68660,27,3.0,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",5.663547571887162,5.663547571887162,3.7070943912077103,2.1931273202890678,4.488136325874503,1.068204159302799
4,h4_p1e-02_f4_period15,96,13,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_f4_period15.json,1.1282799104228616,1.90333,4,4,True,233643,77833,96688,0,Dim2,4,15,11716,10176,10000,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1767368,1,0.01,146410,175740,152640,1,146409,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",0.0,0.0,0.0,0.0,0.0,1.068204159302799
4,h4_p1e-02_f4_period30,96,13,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h4_p1e-02_f4_period30.json,1.2209080467000604,1.9679659999999999,4,4,True,233643,77833,96552,0,Dim2,4,30,11716,10176,10000,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1805464,1,0.01,151382,351480,305280,1,151381,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",3.395942900075122,3.395942900075122,2.155521657062942,0.0,3.395942900075122,1.068204159302799
3,h5_p1e-05_f3_period15,96,15,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h5_p1e-05_f3_period15.json,16.00418915040791,35.693385,3,4,True,2652188,1285963,825992,0,Dim2,3,15,475906,451262,10000,475906,451262,2,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),43200,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,30240796,1,1e-05,2379559,7138590,6768930,1,2379558,36f8bb9ebf40ede2,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/36f8bb9ebf40ede2/compile.yaml,ok,5ee3c27fc2907003b60a7c6ad206cf6509115a121a461277d739a52bcfc0eaa3,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_3.yaml,96,210628,37,3.3636363636363638,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",12.122183055952274,12.122183055952274,12.187904451512965,12.122183055952274,0.0,21.21086077409773
3,h5_p1e-05_f3_period30,96,15,artifacts/surface_code_factory_period_interaction_sweep_h4_h7_4th_paired/compile_info/h5_p1e-05_f3_period30.json,17.951702089048922,71.386485,3,4,True,2652188,1285963,872976,0,Dim2,3,30,475906,451262,10000,475906,451262,2,H5,be867c2d23c889f82e0ad84860ad4cefeb908e09452eaa30a2b3a5b04b5e3b4d,4th(new_2),43200,e6248f75189a660f83bf043f3d95b4f557339da84775960bbbb8f0d14115e3e6,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,56398285,1,1e-05,4759099,14277180,13537860,1,4759098,36f8bb9ebf40ede2,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H5_sto-3g_triplet_1__distance_100_charge_1_grouping__4th_new_2_/36f8bb9ebf40ede2/compile.yaml,ok,5ee3c27fc2907003b60a7c6ad206cf6509115a121a461277d739a52bcfc0eaa3,configs/topologies/accessible_factory_count_h4_h7_4th/h5_factory_count_3.yaml,96,210628,37,3.3636363636363638,"['runtime_estimation_magic_state_consumption_count', 'runtime_estimation_magic_state_consumption_depth']",124.24347085296033,124.24347085296033,109.22747565273072,33.33304383005,99.99920153272097,21.21086077409773
