allocate_magic_factory_count,case_name,chip_cell_count,code_distance,compile_info_path,elapsed_seconds,estimated_execution_time_sec,factory_count,factory_plus_ban_cell_count,fixed_logical_workload_match,gate_count,gate_depth,gnu_time_max_rss_kb,gnu_time_swaps,machine_type,magic_factory_count,magic_generation_period,magic_state_consumption_count,magic_state_consumption_depth,maximum_magic_state_stock,measurement_feedback_count,measurement_feedback_depth,minimum_initial_free_neighbors,molecule,optimized_ir_hash,pf_label,physical_qubits,qasm_hash,qret_core_library_hash,qret_executable_hash,qubit_volume,reaction_time,rotation_precision,runtime,runtime_topology_overhead,runtime_without_topology,source_cache_key,source_compile_yaml,status,topology_hash,topology_path,usable_non_factory_cell_count,weighted_cnot_distance,weighted_nearest_factory_distance,weighted_nearest_factory_distance_mean,runtime_change_pct_vs_stock_10000,qubit_volume_change_pct_vs_stock_10000,runtime_reduction_pct_vs_previous_stock
4,h4_p1e-05_s1,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_s1.json,6.124313862994313,11.034283,4,4,True,1020350,493287,318584,0,Dim2,4,15,184600,173748,1,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,9180067,1,1e-05,848791,7525,841266,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,4.263319264351106,6.356787575764167,
4,h4_p1e-05_s4,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_s4.json,6.1306817745789886,10.881052,4,4,True,1020350,493287,310724,0,Dim2,4,15,184600,173748,4,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,9039330,1,1e-05,837004,-75,837079,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,2.8154342795092324,4.7262618712077265,1.3886810769671243
4,h4_p1e-05_s16,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_s16.json,6.055889425799251,10.780042,4,4,True,1020350,493287,310476,0,Dim2,4,15,184600,173748,16,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8930682,1,1e-05,829234,-811,830045,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,1.8609873182620085,3.467507195829911,0.9283109758137398
4,h4_p1e-05_s64,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_s64.json,5.995386642403901,10.619361999999999,4,4,True,1020350,493287,310792,0,Dim2,4,15,184600,173748,64,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8772636,1,1e-05,816874,-824,817698,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,0.3427164764324031,1.6364459574752077,1.4905322261267617
4,h4_p1e-05_s10000,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-05_s10000.json,5.8872901936993,10.583091999999999,4,4,True,1020350,493287,310352,0,Dim2,4,15,184600,173748,10000,184600,173748,2,H4,6bca956b993ce88c16105a9cca48e0bb8b48bef7446d3cd872aa30a622c1cf0b,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,8631388,1,1e-05,814084,1,814083,50cb40f83797b2c7,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/50cb40f83797b2c7/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,0.0,0.0,0.34154594221385004
4,h4_p1e-02_s1,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_s1.json,1.1858993973582983,1.9448649999999998,4,4,True,233643,77833,96104,0,Dim2,4,15,11716,10176,1,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1810867,1,0.01,149605,648,148957,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,2.1822279898914054,2.4612304851055367,
4,h4_p1e-02_s4,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_s4.json,1.2220058096572757,1.929369,4,4,True,233643,77833,96832,0,Dim2,4,15,11716,10176,4,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1796903,1,0.01,148413,127,148286,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,1.368075951096226,1.6711290461296047,0.7967648140102312
4,h4_p1e-02_s16,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_s16.json,1.240035436116159,1.9090239999999998,4,4,True,233643,77833,96672,0,Dim2,4,15,11716,10176,16,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1778237,1,0.01,146848,-167,147015,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,0.29915989344990734,0.6149822787331116,1.0544898357960575
4,h4_p1e-02_s64,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_s64.json,1.2433472238481045,1.90333,4,4,True,233643,77833,96684,0,Dim2,4,15,11716,10176,64,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1768859,1,0.01,146410,1,146409,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,0.0,0.0843627360006538,0.29826759642623824
4,h4_p1e-02_s10000,96,13,artifacts/surface_code_magic_stock_sweep_h4_h6_4th_paired/compile_info/h4_p1e-02_s10000.json,1.1303699538111687,1.90333,4,4,True,233643,77833,96424,0,Dim2,4,15,11716,10176,10000,11716,10176,2,H4,a1ace4d59abc1087de57110bf2afac5bb3c13c599d0d9d8929992f48cde6013d,4th(new_2),32448,8690906cc9b138208b404e19cbe63537f4939ef24d3a0bfd4144174f03d90e82,9e39f84863d499ac71bd76c86cf88cb44d5d2e9416fb580bf6aba3aa9c49feb6,d519cdb25446cf243053e84ffa559b7e6bd7dbd66365e1488d632208616dbbf5,1767368,1,0.01,146410,1,146409,f964909bc189bf5c,artifacts/surface_code_cache/gr/ftqc_compile_topology_qec/H4_sto-3g_singlet_distance_100_charge_0_grouping__4th_new_2_/f964909bc189bf5c/compile.yaml,ok,229992872aa3c6a149057d38799dbbd7a8bd1f918568568fccac1b3a7759ec29,configs/topologies/accessible_factory_count_h4_h7_4th/h4_factory_count_4.yaml,96,68660,25,2.7777777777777777,0.0,0.0,0.0
